Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
6655300337,"Feb 8, 2022, 11:40:14 AM",Night Run,Run,,1694,5.04,,,false,,,activities/7077498305.gpx.gz,,,1694.0,1691.0,5039.7,3.858,2.98,49.5,46.5,41.2,68.5,7.8,0.1,,,,,,,,,377.0,,,,,,,,,,,,,,,,0.0,,1.0,5118.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.975,0.0,,,,,,,,,,,,,,,,,""
7130101042,"May 12, 2022, 12:24:20 PM",Morning Run,Run,,1868,5.07,,,false,,,activities/7591255874.gpx.gz,,,1868.0,1826.0,5077.0,4.268,2.78,43.8,43.1,41.7,69.7,11.9,0.0,,,,,,,,,380.0,,,,,,,,,,,,,,,,0.0,,1.0,5151.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.718,33.3,,,,,,,,,,,,,,,,,""
7151864129,"May 16, 2022, 12:29:25 PM",Morning Run,Run,,1778,5.06,,,false,,,activities/7615060959.gpx.gz,,,1778.0,1766.0,5066.9,4.407,2.869,45.1,47.1,41.6,69.0,12.4,0.0,,,,,,,,,378.0,,,,,,,,,,,,,,,,0.0,,1.0,5130.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.85,28.7,,,,,,,,,,,,,,,,,""
7168484206,"May 19, 2022, 12:26:25 PM",Morning Run,Run,,2094,6.09,,,false,,,activities/7633048666.gpx.gz,,,2094.0,2085.0,6091.5,4.373,2.922,54.0,53.9,41.7,69.0,9.4,0.0,,,,,,,,,455.0,,,,,,,,,,,,,,,,0.0,,1.0,6168.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.909,22.5,,,,,,,,,,,,,,,,,""
7194771847,"May 24, 2022, 12:01:09 PM",Morning Run,Run,,1449,4.25,,,false,,,activities/7661706329.gpx.gz,,,1449.0,1444.0,4249.9,4.261,2.943,48.9,24.2,43.2,69.0,20.7,0.6,,,,,,,,,324.0,,,,,,,,,,,,,,,,0.0,,1.0,4398.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.933,22.1,,,,,,,,,,,,,,,,,""
7237124629,"Jun 1, 2022, 11:58:40 AM",Morning Run,Run,,2231,5.12,,,false,,,activities/7707952996.gpx.gz,,,2231.0,1874.0,5120.0,4.994,2.732,71.9,73.3,32.2,60.5,24.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5291.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.295,83.6,,,,,,,,,,,,,,,,,""
7269394512,"Jun 7, 2022, 11:51:02 AM",Morning Run,Run,,2090,6.18,,,false,,,activities/7743141697.gpx.gz,,,2090.0,2083.0,6182.6,4.324,2.968,54.6,54.6,41.8,69.0,7.7,0.0,,,,,,,,,461.0,,,,,,,,,,,,,,,,0.0,,1.0,6257.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.958,15.3,,,,,,,,,,,,,,,,,""
7285359869,"Jun 10, 2022, 12:06:21 PM",Morning Run,Run,,3419,10.35,,,false,,,activities/7760457151.gpx.gz,,,3419.0,3406.0,10358.8,4.516,3.041,75.2,75.2,41.6,69.0,8.2,0.0,,,,,,,,,772.0,,,,,,,,,,,,,,,,0.0,,1.0,10467.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.03,144.3,,,,,,,,,,,,,,,,,""
7312761466,"Jun 15, 2022, 11:33:40 AM",Morning Run,Run,,5160,15.41,,,false,,,activities/7790379022.gpx.gz,,,5160.0,5153.0,15416.8,4.557,2.992,104.3,104.4,29.4,64.5,9.0,0.0,,,,,,,,,1146.0,,,,,,,,,,,,,,,,0.0,,1.0,15543.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.988,0.0,,,,,,,,,,,,,,,,,""
7335001218,"Jun 19, 2022, 1:05:55 PM",Morning Hike,Hike,,3546,4.44,,,false,,,activities/7814757000.gpx.gz,,,3546.0,3501.0,4439.7,5.406,1.268,204.8,202.0,32.3,223.6,47.5,0.1,,,,,,,,,327.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.252,1209.5,,,,,,,,,,,,,,,,,""
7350208411,"Jun 22, 2022, 10:58:35 AM",Night Run,Run,,5681,16.68,,,false,,,activities/7831396288.gpx.gz,,,5681.0,5678.0,16682.1,4.72,2.938,128.6,105.8,29.4,67.1,9.2,0.1,,,,,,,,,1245.0,,,,,,,,,,,,,,,,0.0,,1.0,16889.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.936,7.1,,,,,,,,,,,,,,,,,""
7425314117,"Jul 5, 2022, 11:54:48 AM",Morning Run,Run,,1965,6.07,,,false,,,activities/7913712684.gpx.gz,,,1965.0,1951.0,6071.6,4.315,3.112,52.3,54.4,41.7,69.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6142.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.09,18.3,,,,,,,,,,,,,,,,,""
7608981838,"Aug 9, 2022, 11:48:35 AM",Morning Run,Run,,2007,6.02,,,false,,,activities/8117024433.gpx.gz,,,2007.0,1971.0,6020.3,4.608,3.054,54.5,53.8,42.1,69.0,7.6,0.0,,,,,,,,,450.0,,,,,,,,,,,,,,,,0.0,,1.0,6097.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,15.7,,,,,,,,,,,,,,,,,""
7621428534,"Aug 11, 2022, 12:16:48 PM",Morning Run,Run,,3326,9.96,,,false,,,activities/8130791926.gpx.gz,,,3326.0,3286.0,9968.9,4.934,3.034,80.7,80.3,29.4,53.3,36.1,0.0,,,,,,,,,744.0,,,,,,,,,,,,,,,,0.0,,1.0,10093.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.997,20.0,,,,,,,,,,,,,,,,,""
7636948956,"Aug 14, 2022, 12:44:18 PM",Morning Run,Run,,2131,6.01,,,false,,,activities/8148121982.gpx.gz,,,2131.0,2107.0,6013.0,4.037,2.854,73.4,73.4,32.2,60.5,15.9,0.0,,,,,,,,,454.0,,,,,,,,,,,,,,,,0.0,,1.0,6158.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.822,89.3,,,,,,,,,,,,,,,,,""
7758410053,"Sep 5, 2022, 1:05:17 PM",Morning Run,Run,,3076,8.83,,,false,,,activities/8285054582.gpx.gz,,,3076.0,3061.0,8839.0,4.739,2.888,30.0,87.0,7.5,66.8,7.6,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8791.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.874,583.5,,,,,,,,,,,,,,,,,""
7769614053,"Sep 7, 2022, 12:58:17 PM",Morning Run,Run,,3680,10.31,,,false,,,activities/8297587717.gpx.gz,,,3680.0,3653.0,10309.0,5.139,2.822,36.5,87.5,13.7,66.8,4.9,-0.5,,,,,,,,,758.0,,,,,,,,,,,,,,,,0.0,,1.0,10276.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.801,617.4,,,,,,,,,,,,,,,,,""
7812533976,"Sep 15, 2022, 1:08:27 PM",Morning Run,Run,,4099,12.40,,,false,,,activities/8345978255.gpx.gz,,,4099.0,4094.0,12406.6,3.95,3.03,44.7,101.9,7.5,66.8,8.0,-0.5,,,,,,,,,912.0,,,,,,,,,,,,,,,,0.0,,1.0,12372.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.027,850.9,,,,,,,,,,,,,,,,,""
7938500181,"Oct 9, 2022, 3:01:07 PM","Royal Victoria Marathon, 2022",Run,"",17188,43.80,175.0,351,false,,,activities/8488033460.tcx.gz,,,17188.0,17121.0,43805.3,5.044,2.559,233.2,234.2,7.2,30.0,7.5,0.0,,,,,,147.0,,,2761.0,,,351.0,,,,,,,,,,,0.0,,0.0,,1.0,44033.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.549,4.9,,,,,,,,,,,,,,,,,""
7965356795,"Oct 15, 2022, 9:43:29 AM",Quick late night cool down,Run,"",583,1.91,172.0,23,false,,,activities/8518287951.tcx.gz,,,583.0,574.0,1911.0,4.32,3.329,7.8,7.8,58.9,66.8,6.3,0.0,,,,,,150.0,,,101.0,,,23.0,,,,,,,,,,,0.0,,0.0,,1.0,1919.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.278,132.8,,,,,,,,,,,,,,,,,""
7969026774,"Oct 15, 2022, 10:50:21 PM",Afternoon Run with James,Run,"",1845,5.02,172.0,90,false,,,activities/8522442602.tcx.gz,,,1845.0,1824.0,5021.5,3.342,2.753,30.2,30.2,51.6,67.8,6.9,0.0,,,,,,157.0,,,317.0,,,90.0,,,,,,,,,,,0.0,,0.0,,1.0,5068.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.722,3058.5,,,,,,,,,,,,,,,,,""
8019599003,"Oct 25, 2022, 10:11:52 PM",Run in the rain with James,Run,"",3019,8.11,166.0,124,false,,,activities/8580697252.tcx.gz,,,3019.0,3000.0,8112.3,3.254,2.704,35.1,35.1,51.6,67.8,10.4,-0.1,,,,,,153.0,,,510.0,,,124.0,,,,,,,,,,,0.0,,0.0,,1.0,8144.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.687,6831.8,,,,,,,,,,,,,,,,,""
8029567126,"Oct 27, 2022, 9:59:49 PM",Afternoon Run,Run,,1364,3.73,168.0,58,false,,,activities/8591944916.tcx.gz,,,1364.0,1338.0,3734.3,3.602,2.791,22.0,28.0,51.6,67.8,9.8,-0.2,,,,,,153.0,,,236.0,,,58.0,,,,,,,,,,,,,0.0,,1.0,3748.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.738,3492.4,,,,,,,,,,,,,,,,,""
8039471404,"Oct 29, 2022, 10:35:49 PM",Afternoon Run,Run,,2115,6.03,170.0,90,false,,,activities/8603190200.tcx.gz,,,2115.0,2106.0,6036.2,3.332,2.866,34.8,33.8,51.6,67.8,11.0,0.0,,,,,,154.0,,,345.0,,,90.0,,,,,,,,,,,,,0.0,,1.0,6094.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.854,3668.2,,,,,,,,,,,,,,,,,""
8177411853,"Nov 27, 2022, 6:17:09 PM",Morning Run,Run,,1429,4.01,163.0,58,false,,,activities/8759447029.tcx.gz,,,1429.0,1409.0,4010.0,3.388,2.846,12.1,15.7,51.6,67.8,5.4,-0.1,,,,,,152.0,,,230.0,,,58.0,,,,,,,,,,,,,0.0,,1.0,4014.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.806,3770.0,,,,,,,,,,,,,,,,,""
8181046555,"Nov 28, 2022, 5:42:08 PM",Morning Run,Run,,1721,5.02,167.0,73,false,,,activities/8763591307.tcx.gz,,,1721.0,1714.0,5022.3,3.336,2.93,28.4,28.4,51.6,67.8,12.8,-0.1,,,,,,154.0,,,282.0,,,73.0,,,,,,,,,,,,,0.0,,1.0,5052.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.918,3707.5,,,,,,,,,,,,,,,,,""
